index,Sample Number,Total Number,16-20mm,21-25mm,26-30mm,31-35mm,36-40mm,41-45mm,46-50mm,51-55mm,56-60mm,61-65mm,Date,year,month
136,95017,69,21,9,0,0,0,6,19,14,0,0,1996-01-27,1996,1
137,95018,50,0,1,6,16,6,7,10,4,0,0,1996-01-27,1996,1
138,95019,47,0,0,0,0,3,25,17,2,0,0,1996-01-27,1996,1
139,95020,52,0,0,1,1,2,29,15,4,0,0,1996-01-27,1996,1
140,95021,31,0,0,0,0,1,8,12,10,0,0,1996-02-01,1996,2
141,95022,67,2,8,1,1,2,8,24,21,0,0,1996-02-01,1996,2
142,95023,51,0,0,0,0,1,13,23,13,1,0,1996-02-01,1996,2
143,95024,53,0,2,5,6,6,13,18,3,0,0,1996-02-01,1996,2
144,95025,57,0,0,0,3,0,5,32,17,0,0,1996-02-01,1996,2
145,95026,51,0,0,1,5,4,1,21,18,1,0,1996-02-06,1996,2
146,95027,55,0,0,2,13,15,4,19,2,0,0,1996-02-06,1996,2
147,95028,69,0,0,0,1,4,7,22,25,10,0,1996-02-06,1996,2
148,95029,53,0,2,2,20,22,3,2,2,0,0,1996-02-06,1996,2
149,95030,53,0,0,1,20,20,3,5,4,0,0,1996-02-06,1996,2
150,95031,57,0,0,1,10,21,8,7,9,1,0,1996-02-11,1996,2
151,95032,67,0,0,0,19,21,8,14,5,0,0,1996-02-11,1996,2
152,95033,50,0,1,3,20,19,4,2,1,0,0,1996-02-11,1996,2
153,95034,47,0,0,0,0,0,4,18,16,9,0,1996-02-11,1996,2
154,95035,52,0,2,6,13,19,6,4,2,0,0,1996-02-11,1996,2
155,95036,52,0,0,0,14,21,4,6,7,0,0,1996-02-17,1996,2
156,95037,6,0,0,0,0,1,1,2,2,0,0,1996-02-17,1996,2
157,95038,73,5,0,7,17,9,4,13,15,3,0,1996-02-17,1996,2
158,95039,53,0,0,4,10,17,3,11,5,3,0,1996-02-17,1996,2
159,95040,77,0,0,0,4,16,8,28,19,2,0,1996-02-17,1996,2
160,96001,56,0,4,24,23,4,1,0,0,0,0,1997-01-06,1997,1
161,96002,79,0,2,13,45,18,1,0,0,0,0,1997-01-06,1997,1
162,96003,65,2,3,19,20,17,4,0,0,0,0,1997-01-06,1997,1
163,96004,68,1,0,8,38,18,3,0,0,0,0,1997-01-06,1997,1
164,96005,58,0,8,21,24,4,1,0,0,0,0,1997-01-06,1997,1
165,96006,98,0,1,11,46,31,8,1,0,0,0,1997-01-11,1997,1
166,96007,82,0,7,8,34,13,12,4,4,0,0,1997-01-11,1997,1
167,96008,54,1,2,11,28,10,2,0,0,0,0,1997-01-11,1997,1
168,96009,87,0,3,13,32,17,10,7,4,1,0,1997-01-11,1997,1
169,96010,57,0,1,11,37,8,0,0,0,0,0,1997-01-11,1997,1
170,96011,62,0,0,2,36,21,3,0,0,0,0,1997-01-16,1997,1
171,96012,63,0,1,6,30,24,2,0,0,0,0,1997-01-16,1997,1
