studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL0203,2002-11-16,LIT,2,0
PAL0203,2002-11-16,LIT,3,0
PAL0203,2002-11-16,LIT,4,0
PAL0203,2002-11-16,LIT,5,25
PAL0203,2002-11-16,LIT,6,31
PAL0203,2002-11-16,LIT,7,12
PAL0203,2002-11-16,LIT,8,67
PAL0203,2002-11-16,LIT,9,8
PAL0203,2002-11-16,TOR,1,23
PAL0203,2002-11-16,TOR,2,1
PAL0203,2002-11-16,TOR,3,0
PAL0203,2002-11-16,TOR,4,63
PAL0203,2002-11-16,TOR,5,30
PAL0203,2002-11-16,TOR,6,0
PAL0203,2002-11-16,TOR,12,88
PAL0203,2002-11-16,TOR,13,66
PAL0203,2002-11-16,TOR,15,84
PAL0203,2002-11-16,TOR,17,0
PAL0203,2002-11-16,TOR,18,112
PAL0203,2002-11-16,TOR,19,245
PAL0203,2002-11-16,TOR,20,76
PAL0203,2002-11-16,TOR,21,0
